Country,Value
Afghanistan,652230
Albania,27400
Algeria,2381741
American Samoa,200
Andorra,470
Angola,1246700
Antigua and Barbuda,440
Argentina,2736690
Armenia,28470
Aruba,180
Australia,7692020
Austria,82520
Azerbaijan,82650
Bahamas,10010
Bahrain,790
Bangladesh,130170
Barbados,430
Belarus,202950
Belgium,30280
Belize,22810
Benin,112760
Bermuda,54
Bhutan,38140
Bolivia,1083300
Bosnia and Herzegovina,51200
Botswana,566730
Brazil,8358140
British Virgin Islands,150
Brunei,5270
Bulgaria,108560
Burkina Faso,273600
Burundi,25680
Cambodia,176520
Cameroon,472710
Canada,8788700
Cape Verde,4030
Cayman Islands,240
Central African Republic,622980
Chad,1259200
Channel Islands,198
Chile,743532
China,9388210
Colombia,1109500
Comoros,1861
Congo,341500
Costa Rica,51060
Cote d'Ivoire,318000
Croatia,55960
Cuba,103800
Curacao,444
Cyprus,9240
Czechia,77186.83
Democratic Republic of Congo,2267050
Denmark,40000
Djibouti,23180
Dominica,750
Dominican Republic,47531
East Asia and Pacific,24484454
East Timor,14870
Ecuador,248360
Egypt,995450
El Salvador,20720
Equatorial Guinea,28050
Eritrea,121040.83
Estonia,42750
Eswatini,17200
Ethiopia,1128571.2
Europe and Central Asia,27440754
European Union,3996581.8
Faeroe Islands,1370
Fiji,18270
Finland,303947.7
France,547557
French Polynesia,3471
Gabon,257670
Gambia,10120
Georgia,69490
Germany,349390
Ghana,227533
Gibraltar,10
Greece,128900
Greenland,410450
Grenada,340
Guam,540
Guatemala,107160
Guinea,245720
Guinea-Bissau,28120
Guyana,196850
Haiti,27560
High-income countries,35266436
Honduras,111890
Hong Kong,1050
Hungary,91260
Iceland,100830
India,2973190
Indonesia,1892555.5
Iran,1622500
Iraq,434128
Ireland,68890
Isle of Man,570
Israel,21640
Italy,295717
Jamaica,10830
Japan,364500
Jordan,88794
Kazakhstan,2699700
Kenya,569140
Kiribati,810
Kuwait,17820
Kyrgyzstan,191800
Laos,230800
Latin America and Caribbean,20038200
Latvia,62230
Lebanon,10230
Lesotho,30360
Liberia,96320
Libya,1759540
Liechtenstein,160
Lithuania,62610
Low-income countries,14745302
Lower-middle-income countries,24014688
Luxembourg,2574.46
Macao,33
Madagascar,581800
Malawi,94280
Malaysia,328550
Maldives,300
Mali,1220190
Malta,320
Marshall Islands,180
Mauritania,1030700
Mauritius,1997
Mexico,1943950
Micronesia,700
Middle East and North Africa,11217118
Middle-income countries,78883896
Moldova,32970
Monaco,2.084
Mongolia,1557507
Montenegro,13450
Morocco,446300
Mozambique,786380
Myanmar,652670
Namibia,823290
Nauru,20
Nepal,143350
Netherlands,33670
New Caledonia,18280
New Zealand,263310
Nicaragua,120340
Niger,1266700
Nigeria,910770
North America,17936174
North Korea,120410
North Macedonia,25220
Northern Mariana Islands,460
Norway,364270
Oman,309500
Pakistan,770880
Palau,460
Palestine,6025
Panama,74180
Papua New Guinea,452860
Paraguay,397300
Peru,1280000
Philippines,298170
Poland,306100
Portugal,91605.6
Puerto Rico,8870
Qatar,11490
Romania,230080
Russia,16376870
Rwanda,24670
Saint Kitts and Nevis,260
Saint Lucia,610
Saint Martin,50
Saint Vincent and the Grenadines,390
Samoa,2780
San Marino,60
Sao Tome and Principe,960
Saudi Arabia,2149690
Senegal,192530
Serbia,84090
Seychelles,460
Sierra Leone,72180
Singapore,718
Sint Maarten,34
Slovakia,48080
Slovenia,20136.4
Solomon Islands,27990
Somalia,627340
South Africa,1213090
South Asia,4770120
South Korea,97600
South Sudan,631930
Spain,499733.25
Sri Lanka,61860
Sub-Saharan Africa,23890864
Sudan,1868000
Suriname,156000
Sweden,407283.53
Switzerland,39509.63
Syria,183630
Tajikistan,138790
Tanzania,885800
Thailand,510890
Togo,54390
Tonga,720
Trinidad and Tobago,5130
Tunisia,155360
Turkey,769630
Turkmenistan,469930
Turks and Caicos Islands,950
Tuvalu,30
Uganda,200520
Ukraine,579400
United Arab Emirates,71020
United Kingdom,241930
United States,9147420
United States Virgin Islands,350
Upper-middle-income countries,54869210
Uruguay,175020
Uzbekistan,440653
Vanuatu,12190
Venezuela,882050
Vietnam,313429
World,129777690
Yemen,527970
Zambia,743390
Zimbabwe,386850
