Country,Value
Afghanistan,61.9824
Africa,61.6609
Albania,76.4626
Algeria,76.3767
American Samoa,72.5398
Americas,74.189156
Andorra,80.3684
Angola,61.6434
Anguilla,76.6138
Antigua and Barbuda,78.4968
Argentina,75.3899
Armenia,72.0431
Aruba,74.6265
Asia,72.5321
Australia,84.5265
Austria,81.5797
Azerbaijan,69.3658
Bahamas,71.5983
Bahrain,78.7605
Bangladesh,72.3811
Barbados,77.5714
Belarus,72.438
Belgium,81.8787
Belize,70.4697
Benin,59.821
Bermuda,79.2801
Bhutan,71.815
Bolivia,63.6304
Bonaire Sint Eustatius and Saba,75.0859
Bosnia and Herzegovina,75.3003
Botswana,61.1409
Brazil,72.7504
British Virgin Islands,74.4941
Brunei,74.6424
Bulgaria,71.798
Burkina Faso,59.2696
Burundi,61.6627
Cambodia,69.5835
Cameroon,60.3334
Canada,82.6565
Cape Verde,74.0518
Cayman Islands,75.1267
Central African Republic,53.8947
Chad,52.5254
Chile,78.9435
China,78.2107
Colombia,72.8296
Comoros,63.4174
Congo,63.5187
Cook Islands,74.7598
Costa Rica,77.0232
Cote d'Ivoire,58.5983
Croatia,77.5804
Cuba,73.6829
Curacao,75.4398
Cyprus,81.2033
Czechia,77.7283
Democratic Republic of Congo,59.193
Denmark,81.3753
Djibouti,62.3049
Dominica,72.814
Dominican Republic,72.6146
East Timor,67.7369
Ecuador,73.67
Egypt,70.2207
El Salvador,70.7479
Equatorial Guinea,60.5943
Eritrea,66.5358
Estonia,77.1436
Eswatini,57.0657
Ethiopia,64.9748
Europe,77.0336
Falkland Islands,78.6204
Faroe Islands,79.2589
Fiji,67.114
Finland,82.0381
France,82.4988
French Guiana,74.8873
French Polynesia,79.4856
Gabon,65.821
Gambia,62.083
Georgia,71.694
Germany,80.6301
Ghana,63.7954
Gibraltar,79.3291
Greece,80.1106
Greenland,72.3542
Grenada,74.9362
Guadeloupe,80.535
Guam,76.6564
Guatemala,69.2368
Guernsey,82.2318
Guinea,58.8922
Guinea-Bissau,59.6523
Guyana,65.6734
Haiti,63.1924
High-income countries,80.2685
Honduras,70.1229
Hong Kong,85.4734
Hungary,74.5301
Iceland,82.6782
India,67.2398
Indonesia,67.5703
Iran,73.8749
Iraq,70.3779
Ireland,81.9976
Isle of Man,80.5253
Israel,82.255
Italy,82.8502
Jamaica,70.5003
Japan,84.7839
Jersey,80.6555
Jordan,74.2563
Kazakhstan,69.3622
Kenya,61.427
Kiribati,67.4172
Kosovo,76.8062
Kuwait,78.6729
Kyrgyzstan,69.9774
Land-locked Developing Countries,63.7099
Laos,68.0608
Latin America and the Caribbean,72.1639
Latvia,73.5786
Least developed countries,64.0715
Lebanon,75.0472
Lesotho,53.062
Less developed regions,69.5611
Liberia,60.7472
Libya,71.9112
Liechtenstein,83.2575
Lithuania,73.7201
Low-income countries,62.4518
Lower-middle-income countries,66.4477
Luxembourg,82.6287
Macao,85.3994
Madagascar,64.4853
Malawi,62.9044
Malaysia,74.8839
Maldives,79.9182
Mali,58.9414
Malta,83.7769
Marshall Islands,65.2688
